market_and_exchange_names,rows
10 YEAR ERIS SOFR SWAP - CHICAGO BOARD OF TRADE,1
2 YEAR ERIS SOFR SWAP - CHICAGO BOARD OF TRADE,1
5 YEAR ERIS SOFR SWAP - CHICAGO BOARD OF TRADE,1
ADJUSTED INT RATE S&P 500 TOTL - CHICAGO MERCANTILE EXCHANGE,1
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,1
"AVALANCHE - COINBASE DERIVATIVES, LLC",1
BBG COMMODITY - CHICAGO BOARD OF TRADE,1
BITCOIN - CHICAGO MERCANTILE EXCHANGE,1
BRAZILIAN REAL - CHICAGO MERCANTILE EXCHANGE,1
BRITISH POUND - CHICAGO MERCANTILE EXCHANGE,1
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,1
"CARDONA - COINBASE DERIVATIVES, LLC",1
"CHAINLINK - COINBASE DERIVATIVES, LLC",1
DJIA Consolidated - CHICAGO BOARD OF TRADE,1
DJIA x $5 - CHICAGO BOARD OF TRADE,1
"DOGECOIN - COINBASE DERIVATIVES, LLC",1
DOW JONES U.S. REAL ESTATE IDX - CHICAGO BOARD OF TRADE,1
E-MINI S&P 400 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,1
E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE,1
E-MINI S&P COMMUNICATION INDEX - CHICAGO MERCANTILE EXCHANGE,1
E-MINI S&P ENERGY INDEX - CHICAGO MERCANTILE EXCHANGE,1
E-MINI S&P FINANCIAL INDEX - CHICAGO MERCANTILE EXCHANGE,1
E-MINI S&P INDUSTRIAL INDEX - CHICAGO MERCANTILE EXCHANGE,1
E-MINI S&P TECHNOLOGY INDEX - CHICAGO MERCANTILE EXCHANGE,1
E-MINI S&P UTILITIES INDEX - CHICAGO MERCANTILE EXCHANGE,1
EMINI RUSSELL 1000 VALUE INDEX - CHICAGO MERCANTILE EXCHANGE,1
ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,1
EURO FX - CHICAGO MERCANTILE EXCHANGE,1
EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE,1
EURO FX/JAPANESE YEN XRATE - CHICAGO MERCANTILE EXCHANGE,1
EURO SHORT TERM RATE - CHICAGO MERCANTILE EXCHANGE,1
FED FUNDS - CHICAGO BOARD OF TRADE,1
"HEDERA - COINBASE DERIVATIVES, LLC",1
JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,1
"LITECOIN CASH - COINBASE DERIVATIVES, LLC",1
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,1
MICRO 10 YEAR YIELD - CHICAGO BOARD OF TRADE,1
MICRO BITCOIN - CHICAGO MERCANTILE EXCHANGE,1
MICRO E-MINI NASDAQ-100 INDEX - CHICAGO MERCANTILE EXCHANGE,1
MICRO E-MINI RUSSELL 2000 INDX - CHICAGO MERCANTILE EXCHANGE,1
MICRO E-MINI S&P 500 INDEX - CHICAGO MERCANTILE EXCHANGE,1
MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE,1
MICRO SOL - CHICAGO MERCANTILE EXCHANGE,1
MSCI EAFE  - ICE FUTURES U.S.,1
MSCI EM INDEX - ICE FUTURES U.S.,1
"NANO BITCOIN PERP STYLE - COINBASE DERIVATIVES, LLC",1
"NANO ETHER - COINBASE DERIVATIVES, LLC",1
"NANO ETHER PERP STYLE - COINBASE DERIVATIVES, LLC",1
"NANO SOLANA - COINBASE DERIVATIVES, LLC",1
"NANO SOLANA PERP STYLE - COINBASE DERIVATIVES, LLC",1
"NANO XRP - COINBASE DERIVATIVES, LLC",1
"NANO XRP PERP STYLE - COINBASE DERIVATIVES, LLC",1
NASDAQ MINI - CHICAGO MERCANTILE EXCHANGE,1
NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,1
NIKKEI STOCK AVERAGE - CHICAGO MERCANTILE EXCHANGE,1
NIKKEI STOCK AVERAGE YEN DENOM - CHICAGO MERCANTILE EXCHANGE,1
NZ DOLLAR - CHICAGO MERCANTILE EXCHANGE,1
"Nano Bitcoin  - COINBASE DERIVATIVES, LLC",1
RUSSELL 2000 ANNUAL DIVIDEND  - CHICAGO MERCANTILE EXCHANGE,1
RUSSELL E-MINI - CHICAGO MERCANTILE EXCHANGE,1
S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO MERCANTILE EXCHANGE,1
S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,1
S&P 500 QUARTERLY DIVIDEND IND - CHICAGO MERCANTILE EXCHANGE,1
SO AFRICAN RAND - CHICAGO MERCANTILE EXCHANGE,1
SOFR-1M - CHICAGO MERCANTILE EXCHANGE,1
SOFR-3M - CHICAGO MERCANTILE EXCHANGE,1
SOL - CHICAGO MERCANTILE EXCHANGE,1
SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,1
ULTRA UST 10Y - CHICAGO BOARD OF TRADE,1
ULTRA UST BOND - CHICAGO BOARD OF TRADE,1
USD INDEX - ICE FUTURES U.S.,1
UST 10Y NOTE - CHICAGO BOARD OF TRADE,1
UST 2Y NOTE - CHICAGO BOARD OF TRADE,1
UST 5Y NOTE - CHICAGO BOARD OF TRADE,1
UST BOND - CHICAGO BOARD OF TRADE,1
VIX FUTURES - CBOE FUTURES EXCHANGE,1
XRP - CHICAGO MERCANTILE EXCHANGE,1
