symbol,api_symbol,period,eps_actual,eps_estimate,surprise_pct,revenue_actual,revenue_estimate
SAP.DE,SAP,2025-09-30,,,4.0508,,
SAP.DE,SAP,2025-06-30,,,1.6329,,
SAP.DE,SAP,2025-03-31,,,9.8147,,
SAP.DE,SAP,2024-12-31,,,-1.572,,
DTE.DE,DTE,2025-06-30,,,-4.0158,,
DTE.DE,DTE,2025-03-31,,,4.1667,,
DTE.DE,DTE,2024-12-31,,,4.3755,,
DTE.DE,DTE,2024-09-30,,,17.0948,,
ALV.DE,ALV,2025-09-30,,,11.4367,,
ALV.DE,ALV,2025-06-30,,,1.6466,,
ALV.DE,ALV,2025-03-31,,,27.3244,,
ALV.DE,ALV,2024-12-31,,,6.7255,,
AIR.PA,AIR,2025-09-30,,,8.5536,,
AIR.PA,AIR,2025-06-30,,,14.162,,
AIR.PA,AIR,2025-03-31,,,1.6845,,
AIR.PA,AIR,2024-12-31,,,5.8325,,
MC.PA,MC,2025-06-30,,,40.9574,,
MC.PA,MC,2025-03-31,,,11.9077,,
MC.PA,MC,2024-12-31,,,136.189,,
MC.PA,MC,2024-09-30,,,1.8047,,
OR.PA,OR,2025-06-30,,,20.7565,,
OR.PA,OR,2025-03-31,,,37.6421,,
OR.PA,OR,2024-12-31,,,-44.5215,,
OR.PA,OR,2024-09-30,,,2.3192,,
BN.PA,BN,2025-06-30,,,-2.3519,,
BN.PA,BN,2025-03-31,,,6.198,,
BN.PA,BN,2024-12-31,,,11.7504,,
BN.PA,BN,2024-09-30,,,-0.2967,,
SU.PA,SU,2025-06-30,,,0.6236,,
SU.PA,SU,2025-03-31,,,4.8168,,
SU.PA,SU,2024-12-31,,,10.0255,,
SU.PA,SU,2024-09-30,,,32.0368,,
AI.PA,AI,2025-09-30,,,-81.997,,
AI.PA,AI,2025-06-30,,,22.668,,
AI.PA,AI,2025-03-31,,,53.4161,,
AI.PA,AI,2024-12-31,,,64.0503,,
DG.PA,DG,2025-09-30,,,15.2059,,
DG.PA,DG,2025-06-30,,,16.6219,,
DG.PA,DG,2025-03-31,,,8.3871,,
DG.PA,DG,2024-12-31,,,-7.7816,,
ASML.AS,ASML,2025-09-30,,,-1.4388,,
ASML.AS,ASML,2025-06-30,,,11.2326,,
ASML.AS,ASML,2025-03-31,,,1.8503,,
ASML.AS,ASML,2024-12-31,,,-0.4584,,
AD.AS,AD,2025-06-30,,,18.46,,
AD.AS,AD,2025-03-31,,,-40.6109,,
AD.AS,AD,2024-12-31,,,191.0747,,
AD.AS,AD,2024-09-30,,,92.0236,,
SHEL.AS,SHEL,2025-06-30,,,-16.3472,,
SHEL.AS,SHEL,2025-03-31,,,-4.4354,,
SHEL.AS,SHEL,2024-12-31,,,-29.2237,,
SHEL.AS,SHEL,2024-09-30,,,19.6858,,
AZN.L,AZN,2025-06-30,,,-1.7433,,
AZN.L,AZN,2025-03-31,,,9.3256,,
AZN.L,AZN,2024-12-31,,,-0.6323,,
AZN.L,AZN,2024-09-30,,,0.6387,,
