symbol,market_cap,beta,shares_out,pe_ttm,ps_ttm,pb_ttm,roe_ttm,gross_margin,oper_margin,net_margin,debt_to_equity
SAP.DE,,,,,,,,,,,
DTE.DE,,,,,,,,,,,
ALV.DE,,,,,,,,,,,
SIE.DE,,,,,,,,,,,
BAS.DE,,,,,,,,,,,
BAYN.DE,,,,,,,,,,,
BMW.DE,,,,,,,,,,,
VOW3.DE,,,,,,,,,,,
ADS.DE,,,,,,,,,,,
IFX.DE,,,,,,,,,,,
AAPL,3989245.0000000005,,14840.39,39.7602,9.6602,61.8474,154.92,46.68,31.87,24.3,
MSFT,3950834.75,,7433.17,38.6844,13.9829,10.7635,32.440000000000005,68.82,45.29,36.15,
AMZN,2420615.0,,10664.91,34.3461,3.6201,8.0669,23.84,49.61,11.37,10.54,
SPY,,,,,,,,,,,
GLD,,,,,,,,,,,
AVGO,1709732.25,,4722.37,89.8003,28.37,11.6319,27.01,67.03,37.81,31.59,
META,1886031.640625,,2512.14,26.3755,10.548,8.0932,39.33,81.95,44.02,39.99,
NVDA,4653207.0,,24300.0,53.734,28.164,36.5589,105.22,70.2,58.09,52.41,
GOOGL,3260135.0625,,12094.0,28.0817,8.7385,7.1475,34.31,58.94,32.68,31.12,
