symbol,put_call_oi,iv_skew,oi_concentration,expiry_wall_7,nearest_dte,total_oi,call_oi,put_oi
"symbol,proxy",0.0,,,,,0.0,0,0
"SAP.DE,EU_IG",0.0,,,,,0.0,0,0
"DTE.DE,EU_IG",0.0,,,,,0.0,0,0
"ALV.DE,EU_IG",0.0,,,,,0.0,0,0
"SIE.DE,EU_IG",0.0,,,,,0.0,0,0
"BAS.DE,EU_IG",0.0,,,,,0.0,0,0
"BAYN.DE,EU_IG",0.0,,,,,0.0,0,0
"BMW.DE,EU_IG",0.0,,,,,0.0,0,0
"VOW3.DE,EU_IG",0.0,,,,,0.0,0,0
"ADS.DE,EU_IG",0.0,,,,,0.0,0,0
"IFX.DE,EU_IG",0.0,,,,,0.0,0,0
"AAPL,US_IG",0.0,,,,,0.0,0,0
"MSFT,US_IG",0.0,,,,,0.0,0,0
"AMZN,US_IG",0.0,,,,,0.0,0,0
"SPY,US_IG",0.0,,,,,0.0,0,0
"GLD,US_IG",0.0,,,,,0.0,0,0
"AVGO,US_IG",0.0,,,,,0.0,0,0
"META,US_IG",0.0,,,,,0.0,0,0
"NVDA,US_IG",0.0,,,,,0.0,0,0
"GOOGL,US_IG",0.0,,,,,0.0,0,0
