symbol,rows,first,last,source
AAPL,523,2023-10-02,2025-10-30,shard_A.parquet
ADS.DE,529,2023-10-02,2025-10-29,shard_A.parquet
ALV.DE,529,2023-10-02,2025-10-29,shard_A.parquet
AMZN,523,2023-10-02,2025-10-30,shard_A.parquet
AVGO,523,2023-10-02,2025-10-30,shard_A.parquet
BAS.DE,529,2023-10-02,2025-10-29,shard_B.parquet
BAYN.DE,529,2023-10-02,2025-10-29,shard_B.parquet
BMW.DE,529,2023-10-02,2025-10-29,shard_B.parquet
DTE.DE,529,2023-10-02,2025-10-29,shard_D.parquet
GLD,523,2023-10-02,2025-10-30,shard_G.parquet
GOOGL,523,2023-10-02,2025-10-30,shard_G.parquet
HYG,523,2023-10-02,2025-10-30,shard_H.parquet
IFX.DE,529,2023-10-02,2025-10-29,shard_I.parquet
IWM,523,2023-10-02,2025-10-30,shard_I.parquet
META,523,2023-10-02,2025-10-30,shard_M.parquet
MSFT,523,2023-10-02,2025-10-30,shard_M.parquet
NVDA,523,2023-10-02,2025-10-30,shard_N.parquet
QQQ,523,2023-10-02,2025-10-30,shard_Q.parquet
SAP.DE,529,2023-10-02,2025-10-29,shard_S.parquet
SIE.DE,529,2023-10-02,2025-10-29,shard_S.parquet
SPY,523,2023-10-02,2025-10-30,shard_S.parquet
VOW3.DE,529,2023-10-02,2025-10-29,shard_V.parquet
XLE,523,2023-10-02,2025-10-30,shard_X.parquet
XLF,523,2023-10-02,2025-10-30,shard_X.parquet
XLK,523,2023-10-02,2025-10-30,shard_X.parquet
