market_and_exchange_names,first_date,last_date,rows,watchlist_match,in_watchlist
BRENT (ICE) CALENDAR SWAP - NEW YORK MERCANTILE EXCHANGE ,2010-06-29,2010-06-29,1,,False
BRENT CRUDE OIL LAST DAY - NEW YORK MERCANTILE EXCHANGE ,2011-11-15,2011-11-15,1,,False
BRENT FINANCIAL - NEW YORK MERCANTILE EXCHANGE ,2010-11-09,2010-11-09,1,,False
BRENT-DUBAI SWAP - NEW YORK MERCANTILE EXCHANGE ,2010-12-28,2010-12-28,1,,False
"CRUDE OIL, LIGHT SWEET - ICE FUTURES EUROPE ",2010-12-28,2010-12-28,1,,False
"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE ",2010-12-28,2010-12-28,1,,False
DUBAI CRUDE OIL CALENDAR SWAP - NEW YORK MERCANTILE EXCHANGE ,2010-12-28,2010-12-28,1,,False
GASOLINE BLENDSTOCK (RBOB) - NEW YORK MERCANTILE EXCHANGE ,2010-12-28,2010-12-28,1,,False
GULF COAST ULSD CRACK SPR SWAP - NEW YORK MERCANTILE EXCHANGE ,2012-10-30,2012-10-30,1,,False
GULF COAST ULSD SWAP - NEW YORK MERCANTILE EXCHANGE ,2012-10-02,2012-10-02,1,,False
GULF#6 FUELOIL BRENT CRACK SWP - NEW YORK MERCANTILE EXCHANGE ,2012-12-31,2012-12-31,1,,False
MT BELV NAT GASOLINE 5 DEC SWP - NEW YORK MERCANTILE EXCHANGE ,2010-04-20,2010-04-20,1,,False
MT BELV NAT GASOLINE OPIS SWAP - NEW YORK MERCANTILE EXCHANGE ,2010-12-28,2010-12-28,1,,False
NATURAL GAS - NEW YORK MERCANTILE EXCHANGE ,2010-12-28,2010-12-28,1,,False
NATURAL GAS ICE HENRY HUB - ICE FUTURES ENERGY DIV ,2012-12-31,2012-12-31,1,,False
NATURAL GAS ICE HENRY HUB - ICE OTC ,2010-12-28,2010-12-28,1,,False
"NO. 2 HEATING OIL, N.Y. HARBOR - NEW YORK MERCANTILE EXCHANGE ",2010-12-28,2010-12-28,1,,False
NY ULSD VS HEATING OIL SPR SWP - NEW YORK MERCANTILE EXCHANGE ,2012-12-31,2012-12-31,1,,False
NYMEX HEATING OIL/RDAM GASOIL - NEW YORK MERCANTILE EXCHANGE ,2010-12-28,2010-12-28,1,,False
RBOB CALENDAR SWAP - NEW YORK MERCANTILE EXCHANGE ,2010-12-28,2010-12-28,1,,False
RBOB CRACK SPREAD SWAP - NEW YORK MERCANTILE EXCHANGE ,2010-03-30,2010-03-30,1,,False
RBOB GASOLINE/BRENT CRACK SPRD - NEW YORK MERCANTILE EXCHANGE ,2012-12-31,2012-12-31,1,,False
RBOB UP-DOWN CAL SWAP - NEW YORK MERCANTILE EXCHANGE ,2010-09-28,2010-09-28,1,,False
ULSD UP DOWN SWAP - NEW YORK MERCANTILE EXCHANGE ,2011-06-28,2011-06-28,1,,False
ULSD UP-DOWN BALMO SWAP - NEW YORK MERCANTILE EXCHANGE ,2011-03-29,2011-03-29,1,,False
UP DOWN GC ULSD VS HO SPR SWAP - NEW YORK MERCANTILE EXCHANGE ,2010-12-28,2010-12-28,1,,False
WTI CRUDE OIL CALENDAR SWAP - NEW YORK MERCANTILE EXCHANGE ,2010-12-28,2010-12-28,1,,False
WTI CRUDE OIL FINANCIAL - NEW YORK MERCANTILE EXCHANGE ,2010-12-28,2010-12-28,1,,False
