symbol,api_symbol,period,report_date,year,quarter,report_time,eps_actual,eps_estimate,surprise_pct,surprise_eps_abs,revenue_actual,revenue_estimate,surprise_rev_pct,currency,source
AAPL,AAPL,2015Q2,2015-06-01,,,,1.85,,,,,,,USD,sec
AAPL,AAPL,2015Q3,2015-09-01,,,,1.96,,,,,,,USD,sec
AAPL,AAPL,2015Q4,2015-12-01,,,,3.28,,,,,,,USD,sec
AAPL,AAPL,2016Q1,2016-03-01,,,,1.9,,,,,,,USD,sec
AAPL,AAPL,2016Q2,2016-06-01,,,,1.42,,,,,,,USD,sec
AAPL,AAPL,2016Q3,2016-09-01,,,,1.67,,,,,,,USD,sec
AAPL,AAPL,2016Q4,2016-12-01,,,,3.36,,,,,,,USD,sec
AAPL,AAPL,2017Q2,2017-06-01,,,,2.1,,,,,,,USD,sec
AAPL,AAPL,2017Q3,2017-09-01,,,,2.07,,,,229234000000.0,,,USD,sec
AAPL,AAPL,2017Q4,2017-12-01,,,,3.89,,,,88293000000.0,,,USD,sec
AAPL,AAPL,2018Q1,2018-03-01,,,,2.73,,,,61137000000.0,,,USD,sec
AAPL,AAPL,2018Q2,2018-06-01,,,,2.34,,,,53265000000.0,,,USD,sec
AAPL,AAPL,2018Q3,2018-09-01,,,,2.91,,,,62900000000.0,,,USD,sec
AAPL,AAPL,2018Q4,2018-12-01,,,,1.05,,,,84310000000.0,,,USD,sec
AAPL,AAPL,2019Q1,2019-03-01,,,,0.61,,,,58015000000.0,,,USD,sec
AAPL,AAPL,2019Q2,2019-06-01,,,,0.55,,,,53809000000.0,,,USD,sec
AAPL,AAPL,2019Q3,2019-09-01,,,,0.76,,,,64040000000.0,,,USD,sec
AAPL,AAPL,2019Q4,2019-12-01,,,,1.25,,,,91819000000.0,,,USD,sec
AAPL,AAPL,2020Q1,2020-03-01,,,,0.64,,,,58313000000.0,,,USD,sec
AAPL,AAPL,2020Q2,2020-06-01,,,,0.65,,,,59685000000.0,,,USD,sec
AAPL,AAPL,2020Q3,2020-09-01,,,,0.73,,,,64698000000.0,,,USD,sec
AAPL,AAPL,2020Q4,2020-12-01,,,,1.68,,,,111439000000.0,,,USD,sec
AAPL,AAPL,2021Q1,2021-03-01,,,,1.4,,,,89584000000.0,,,USD,sec
AAPL,AAPL,2021Q2,2021-06-01,,,,1.3,,,,81434000000.0,,,USD,sec
AAPL,AAPL,2021Q3,2021-09-01,,,,5.61,,,,365817000000.0,,,USD,sec
AAPL,AAPL,2021Q4,2021-12-01,,,,2.1,,,,123945000000.0,,,USD,sec
AAPL,AAPL,2022Q1,2022-03-01,,,,1.52,,,,97278000000.0,,,USD,sec
AAPL,AAPL,2022Q2,2022-06-01,,,,1.2,,,,82959000000.0,,,USD,sec
AAPL,AAPL,2022Q3,2022-09-01,,,,6.11,,,,394328000000.0,,,USD,sec
AAPL,AAPL,2022Q4,2022-12-01,,,,1.88,,,,117154000000.0,,,USD,sec
AAPL,AAPL,2023Q2,2023-06-01,,,,1.52,,,,94836000000.0,,,USD,sec
AAPL,AAPL,2023Q3,2023-09-01,,,,6.13,,,,383285000000.0,,,USD,sec
AAPL,AAPL,2023Q4,2023-12-01,,,,2.18,,,,119575000000.0,,,USD,sec
AAPL,AAPL,2024Q1,2024-03-01,,,,1.53,,,,90753000000.0,,,USD,sec
AAPL,AAPL,2024Q2,2024-06-01,,,,1.4,,,,85777000000.0,,,USD,sec
AAPL,AAPL,2024Q3,2024-09-01,,,,6.08,,,,391035000000.0,,,USD,sec
AAPL,AAPL,2024Q4,2024-12-01,,,,2.4,,,,124300000000.0,,,USD,sec
AAPL,AAPL,2025Q1,,2025.0,1.0,,,,0.1502,,,,,,finnhub
AAPL,AAPL,2025Q2,,2025.0,2.0,,,,-0.5785,,,,,,finnhub
AAPL,AAPL,2025Q3,,2025.0,3.0,,,,7.3431,,,,,,finnhub
AAPL,AAPL,2025Q4,,2025.0,4.0,,,,2.3513,,,,,,finnhub
ALV,ALV,2015Q4,2015-12-01,,,,2.1,,,,,,,USD,sec
ALV,ALV,2016Q1,2016-03-01,,,,1.51,,,,,,,USD,sec
ALV,ALV,2016Q2,2016-06-01,,,,1.68,,,,,,,USD,sec
ALV,ALV,2016Q3,2016-09-01,,,,1.56,,,,,,,USD,sec
ALV,ALV,2016Q4,2016-12-01,,,,1.67,,,,7921600000.0,,,USD,sec
ALV,ALV,2017Q1,2017-03-01,,,,1.67,,,,2041600000.0,,,USD,sec
ALV,ALV,2017Q2,2017-06-01,,,,1.54,,,,1983900000.0,,,USD,sec
ALV,ALV,2017Q3,2017-09-01,,,,1.21,,,,1952600000.0,,,USD,sec
ALV,ALV,2017Q4,2017-12-01,,,,2.26,,,,2158700000.0,,,USD,sec
ALV,ALV,2018Q1,2018-03-01,,,,1.82,,,,2240900000.0,,,USD,sec
ALV,ALV,2018Q2,2018-06-01,,,,2.2,,,,2211500000.0,,,USD,sec
