date,series_id,value,bucket,region
1999-01-04,BAMLC0A0CM,1.2,IG,US
1999-01-05,BAMLC0A0CM,1.21,IG,US
1999-01-06,BAMLC0A0CM,1.21,IG,US
1999-01-07,BAMLC0A0CM,1.2,IG,US
1999-01-08,BAMLC0A0CM,1.16,IG,US
1999-01-11,BAMLC0A0CM,1.14,IG,US
1999-01-12,BAMLC0A0CM,1.16,IG,US
1999-01-13,BAMLC0A0CM,1.17,IG,US
1999-01-14,BAMLC0A0CM,1.16,IG,US
1999-01-15,BAMLC0A0CM,1.17,IG,US
1999-01-18,BAMLC0A0CM,1.18,IG,US
1999-01-19,BAMLC0A0CM,1.16,IG,US
1999-01-20,BAMLC0A0CM,1.17,IG,US
1999-01-21,BAMLC0A0CM,1.19,IG,US
1999-01-22,BAMLC0A0CM,1.18,IG,US
1999-01-25,BAMLC0A0CM,1.17,IG,US
1999-01-26,BAMLC0A0CM,1.18,IG,US
1999-01-27,BAMLC0A0CM,1.19,IG,US
1999-01-28,BAMLC0A0CM,1.18,IG,US
1999-01-29,BAMLC0A0CM,1.15,IG,US
1999-01-31,BAMLC0A0CM,1.16,IG,US
1999-02-01,BAMLC0A0CM,1.16,IG,US
1999-02-02,BAMLC0A0CM,1.15,IG,US
1999-02-03,BAMLC0A0CM,1.16,IG,US
1999-02-04,BAMLC0A0CM,1.17,IG,US
1999-02-05,BAMLC0A0CM,1.14,IG,US
1999-02-08,BAMLC0A0CM,1.14,IG,US
1999-02-09,BAMLC0A0CM,1.17,IG,US
1999-02-10,BAMLC0A0CM,1.12,IG,US
1999-02-11,BAMLC0A0CM,1.12,IG,US
