# DE (Deutschland)
SAP.DE,SAP
SIE.DE,SIEGY
BAYN.DE,BAYRY
VOW3.DE,VWAGY
BMW.DE,BMWYY
MBG.DE,MBGAF
ADS.DE,ADDYY
IFX.DE,IFNNY
HEI.DE,HDELY
LIN.DE,LIN
DTG.DE,DTEGY
ALV.DE,ALIZY
HEN3.DE,HENKY
FRE.DE,FRRAF
BAS.DE,BASFY

# FR (Frankreich)
MC.PA,LVMUY
OR.PA,LRLCY
AIR.PA,EADSY
SAN.PA,SNY
TTE.PA,TTE
DG.PA,VCISY
SU.PA,SBGSY
AI.PA,AIQUY
CA.PA,CRRFY
PUB.PA,PUBGY
BNP.PA,BNPQY
GLE.PA,SCGLY
ML.PA,LRENY

# NL (Niederlande)
ASML.AS,ASML
AD.AS,ADRNY
HEIA.AS,HEINY
PRX.AS,PROSY
PHIA.AS,PHG
ASM.AS,ASMIY

# UK (Vereinigtes Königreich)
AZN.L,AZN
GSK.L,GSK
SHEL.L,SHEL
HSBA.L,HSBC
RIO.L,RIO
ULVR.L,UL
DGE.L,DEO
BP.L,BP
BATS.L,BTI
NG.L,NGG

# CH (Schweiz)
NESN.SW,NSRGY
NOVN.SW,NVS
ROG.SW,RHHBY
ABBN.SW,ABB
CSGN.SW,CS
UBSG.SW,UBS

# ES (Spanien)
ITX.MC,IDEXY
SAN.MC,SAN
BBVA.MC,BBVA
TEF.MC,TEF
IBE.MC,IBDRY
REP.MC,REPYY
AMS.MC,AMSYF

# IT (Italien)
ENEL.MI,ENLAY
ENI.MI,E
ISP.MI,ISNPY
UCG.MI,UNCRY
STM.MI,STM
PST.MI,PHPPY

# IE (Irland)
CRH.L,CRH
RYA.L,RYAAY
KYGA.L,KYGA

# SE (Schweden)
ERIC-B.ST,ERIC
VOLV-B.ST,VLVLY
SAND.ST,SDVKY
ATCO-B.ST,ATLKY
ESSITY-B.ST,ETTYF

# FI (Finnland)
NOKIA.HE,NOK
UPM.HE,UPMKY
FORTUM.HE,FOJCF
KNEBV.HE,KNYJF

# DK (Dänemark)
NOVO-B.CO,NVO
MAERSK-B.CO,AMKBY
ORSTED.CO,DNNGY
VWS.CO,VWSYF

# NO (Norwegen)
EQNR.OL,EQNR
NHY.OL,NHYDY
TEL.OL,TELNY

# PT (Portugal)
EDP.LS,EDPFY
GALP.LS,GLPEY

# BE (Belgien)
ABI.BR,BUD
KBC.BR,KBCSY

# AT (Österreich)
EBS.VI,EBKDY
OMV.VI,OMVJF
